資料集名稱,資料集描述,資料集代碼,資料集所屬單位,資料集類別,環境保護計畫類別,聯合國永續發展目標,主要資料欄位,資料來源,授權方式,授權說明網址,編碼格式,更新頻率,最後更新時間,聯絡人姓名,聯絡人電話,聯絡人電子郵件,標籤
河川水質監測資料,"環境部發布河川水質監測資料，包括河川污染指標（River Pollution Index, RPI）及主要污染物監測值等資料。由於監測資料需要每個月現場採樣、經實驗室檢測分析及資料品保品管程序，通常需要隔月提供資料",WQX_P_01,環境部環境資訊科技司,水,環境資源調查與監測,乾淨水與衛生,SiteId(測站代碼)、SiteName(測站名稱)、County(縣市)、Township(鄉鎮市區)、Basin(流域名稱)、River(河川名稱)、TWD97Lon(TWD97經度)、TWD97Lat(TWD97緯度)、TWD97TM2X(TWD97二度分帶X)、TWD97TM2Y(TWD97二度分帶Y)、SampleDate(採樣日期)、ItemName(測項名稱)、ItemEngAbbreviation(測項英文簡稱)、ItemValue(監測值)、ItemUnit(測項單位)、Note(備註),環境水質監測資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:10:18.000000",郭先生,(02)2311-7722#2399,weiling.kuo@moenv.gov.tw,"河川水質,監測"
列管公共污水下水道名單,提供列管公共污水下水道名單資料,WAD_P_07,環境部水質保護司,水,流域治理,乾淨水與衛生,ControlNO(管制編號)、City(縣市別)、CompanyName(機構名稱)、CompanyAddress(機構地址)、RunState(目前運作狀態)、Type(管制性質)、CountyCode(縣市別代碼)、AreaCode(行政區域代碼),水污法相關資訊公開平台,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:10:17.000000",程先生,(02)2311-7722#2833,klcheng@moenv.gov.tw,公共污水下水道
列管社區下水道名單,提供列管社區下水道名單資料(PDF),WAD_P_08,環境部水質保護司,水,流域治理,乾淨水與衛生,City(縣市別)、ControlNO(管制編號)、Name(名稱)、RunState(運作狀態)、ProductionDate(製表日期),水污法相關資訊公開平台,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:10:17.000000",程先生,(02)2311-7722#2833,klcheng@moenv.gov.tw,社區下水道
列管工業區下水道名單,提供列管工業區下水道名單,WAD_P_06,環境部水質保護司,水,流域治理,乾淨水與衛生,City(縣市代碼)、ControlNO(管制編號)、CompanyName(工業區名稱)、CompanyAddress(地址),水污法相關資訊公開平台,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:10:16.000000",周小姐,(02)2311-7722#2834,yc.chou@moenv.gov.tw,列管工業區
水污染防治各項許可申請收費標準,提供水污染防治措施計畫或各項許可證（文件）之審查登記、變更、展延等之收費規定,WAD_P_05,環境部水質保護司,水,環境影響評估,乾淨水與衛生,ReleaseYear(發布修正日)、TitleName(名稱)、Description(說明)、URL(路徑),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:10:16.000000",陳先生,(02)2311-7722#2827,kaichung.chen@moenv.gov.tw,水污許可收費標準
鹿林山紫外線測站基本資料,環境部設於全國紫外線測站基本資料,UV_P_01,環境部環境資訊科技司,大氣,大氣環境,良好健康和福祉,SiteName(測站名稱)、SiteEngName(測站英文名稱)、County(城市)、Township(鄉鎮)、SiteAddress(測站地址)、Longitude(經度)、Latitude(緯度)、AgencyName(管理單位)、TWD97Lon(經度)、TWD97Lat(緯度)、TWD97TM2X(二度分帶X)、TWD97TM2Y(二度分帶Y)、PublishAgency(政府單位),空氣品質監測網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:10:11.000000",吳小姐,(02)2311-7722#2311,peishan.wu@moenv.gov.tw,"紫外線,監測站"
新化學物質登錄資訊系統工具(Chemist),利用該系統工具，進行相關化學物質之申請、填寫與公開,TXMG_P_49,環境部化學物質管理署,其他,化學物質管理,,filename(標題)、url(路徑)、description(說明),化學物質登錄平臺,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:10:10.000000",梁小姐,(02)2325-7399#55346,hsiaochun.liang@moenv.gov.tw,
低關注聚合物事前審定表單,如為低關注聚合物須填寫事前審定表單,TXMG_P_53,環境部化學物質管理署,其他,化學物質管理,,filename(標題)、url(路徑)、description(說明),化學物質登錄平臺,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:10:10.000000",梁小姐,(02)2325-7399#55346,hsiaochun.liang@moenv.gov.tw,
新化學物質簡易登錄表單,針對申請新化學物質之級距，填寫簡易登錄之表單,TXMG_P_44,環境部化學物質管理署,其他,化學物質管理,,filename(標題)、url(路徑)、description(說明),化學物質登錄平臺,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:10:09.000000",梁小姐,(02)2325-7399#55346,hsiaochun.liang@moenv.gov.tw,
新化學物質標準登錄表單,依據申請新化學物質之級距，填寫相關表單,TXMG_P_48,環境部化學物質管理署,其他,化學物質管理,,filename(標題)、url(路徑)、description(說明),化學物質登錄平臺,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:10:09.000000",梁小姐,(02)2325-7399#55346,hsiaochun.liang@moenv.gov.tw,
新化學物質少量登錄表單,申請新化學物質須按照級距填列相關申請表單，此為少量登錄需填寫之表單,TXMG_P_43,環境部化學物質管理署,其他,化學物質管理,,filename(標題)、url(路徑)、description(說明),化學物質登錄平臺,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:10:08.000000",梁小姐,(02)2325-7399#55346,hsiaochun.liang@moenv.gov.tw,
新化學物質資料保護申請表單,登錄人申請新化學物質資料的保護表單,TXMG_P_41,環境部化學物質管理署,其他,化學物質管理,,filename(標題)、url(路徑)、description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:10:07.000000",梁小姐,(02)2325-7399#55346,hsiaochun.liang@moenv.gov.tw,
列管毒性化學物質毒理資料,環境部列管毒性化學物質辨識、防護與應變措施資料,TOXIC_S_01,環境部化學物質管理署,污染防治,其他,負責任的消費與生產,No(列管編號)、CasNo(CAS編號)、CName(中文名稱)、EName(英文名稱)、FileURL(下載網址)、unit_code(服務機關代碼),毒災防救管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:07.000000",楊先生,(02)2325-7399#55840,chunyen.yang@moenv.gov.tw,"毒化物,物質辨識,應變措施"
公告毒性化學物質及其毒性分類,公告毒性化學物質及其毒性分類資訊,TOXIC_P_23,環境部化學物質管理署,其他,化學物質管理,"乾淨水與衛生,負責任的消費與生產",TOXIC_NO(列管編號)、NO(序號)、CNAME_U(中文名稱)、ENAME(英文名稱)、FORMULA(分子式)、REG_NO(化學文摘社登記號碼)、Qty_Lower(管制濃度)、altqty(大量運作基準)、CLASS(毒性分類)、A_DATE(公告日期),環境部主管法規查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:10:06.000000",游小姐,(02)2325-7399#55315,yilin.yu@moenv.gov.tw,毒性化學物質
列管毒性化學物質已取得許可業者查核家次,列管毒性化學物質已取得許可業者查核家次，統計項包括製造、輸入、販賣、使用、貯存、運送及廢棄等7項，類別為22縣市，單位為家次。,TOXIC_P_26,環境部統計處,其他,化學物質管理,負責任的消費與生產,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:06.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"列管毒性化學物質,查核"
毒化物運作紀錄申報總量,毒化物運作紀錄申報總量(單位公噸),TOXIC_P_19,環境部化學物質管理署,其他,化學物質管理,"乾淨水與衛生,負責任的消費與生產",Toxic_No(毒化物編號)、Tname(毒化物名稱)、make_value(製造量)、import_value(輸入量),毒性及關注化學物質登記申報系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,6月,"2026-04-12 08:10:05.000000",游小姐,(02)2325-7399#55315,yilin.yu@moenv.gov.tw,毒化物
歷年化學物質環境流布調查成果手冊,"彙整歷年化學物質環境流布調查成果，編製成果手冊。內容主要包含：(1) 環境流布調查緣起、(2) 環境流布調查工作方法、(3) 環境流布調查結果、(4) 化學物質環境流布資料庫、(5) 執行行成效及未來發展。",TOXIC_P_21,環境部化學物質管理署,其他,化學物質管理,,manual(手冊名稱)、year(年度)、publication_date(出版年月)、url(檔案下載路徑),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:05.000000",林小姐,(02)2325-7399#55326,hanchun.lin@moenv.gov.tw,毒性化學物質
毒性化學物質許可證資料,領有毒性化學物質許可證業者明細,TOXIC_P_03,環境部化學物質管理署,污染防治,化學物質管理,"乾淨水與衛生,負責任的消費與生產",PER_NO(證件字號)、C_NO(運作人管制編號)、C_NAME(運作人名稱)、PLACE_NO(運作場所管制編號)、COMP_NAME(運作場所名稱)、PACTION(許可證類別)、listedno(毒化物列管編號)、ban(運作人名稱統一編號),毒性及關注化學物質登記申報系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,6月,"2026-04-12 08:10:04.000000",游小姐,(02)2325-7399#55315,yilin.yu@moenv.gov.tw,毒性化學物質
毒性化學物質釋放量公開資訊,本部已針對申報資料進行抽核，並依結果要求廠家改善修正，由廠家落實合理及如實申報資料之責任。,TOXIC_P_18,環境部化學物質管理署,大氣,化學物質管理,"乾淨水與衛生,負責任的消費與生產",Year(年度)、Item(項次)、ToxicName(毒化物名稱)、MakeAmount_mt(製造量_公噸)、InportAmount_mt(輸入量_公噸)、ExportAmont_mt(輸出量_公噸)、TotalAmont1_mt(小計1_公噸)、EmissionAmount_mt(排放量_公噸)、TransferAmount_mt(轉移量_公噸)、TotalAmont2_mt(小計2_公噸),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:10:04.000000",游小姐,(02)2325-7399#55315,yilin.yu@moenv.gov.tw,"毒性化學物質,釋放量"
毒性化學物質禁止運作事項資料,公告列管毒性化學物質禁止運作事項一覽表,TOXIC_P_02,環境部化學物質管理署,污染防治,化學物質管理,"乾淨水與衛生,負責任的消費與生產",listedno(列管編號)、Tname(化學物質名稱)、prohibit_operation(禁止運作事項),環境部主管法規查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:10:03.000000",游小姐,(02)2325-7399#55315,yilin.yu@moenv.gov.tw,毒性化學物質
毒性化學物質許可目的用途資料,公告列管毒性化學物質得使用用途一覽表,TOXIC_P_01,環境部化學物質管理署,污染防治,化學物質管理,"乾淨水與衛生,負責任的消費與生產",listedno(列管編號)、Tname(化學物質中文名稱)、USE_GOAL(用途),環境部主管法規查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:10:03.000000",游小姐,(02)2325-7399#55315,yilin.yu@moenv.gov.tw,毒性化學物質
環保人員數,環保人員數，統計項包括特任、比照簡任、簡任10職等以上、薦任6-9職等、委任1-5職等、雇員、約聘(僱)、工員及駐衛警察等8項，類別為本部+22縣市，單位為人。,STAT_P_98,環境部統計處,其他,其他,尊嚴就業與經濟發展,item1(統計期)、item2(統計區)、value1(總人員數)、value2(特任比照簡任人員數)、value3(簡任人員數)、value4(薦任人員數)、value5(委任人員數)、value6(雇員人員數)、value7(約聘僱人員數)、value8(工員人員數)、value9(駐衛警察人員數),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:02.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,環保人員
噪音罰鍰次數,噪音罰鍰次數，類別為22縣市，單位為次。,STAT_P_96,環境部統計處,其他,其他,永續城市與社區,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:01.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"噪音,罰鍰"
噪音實收罰鍰,噪音實收罰鍰，類別為22縣市，單位為千元。,STAT_P_97,環境部統計處,其他,其他,永續城市與社區,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:01.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"噪音,罰鍰"
噪音稽查次數,噪音稽查次數，類別為22縣市，單位為次。,STAT_P_95,環境部統計處,其他,其他,永續城市與社區,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:00.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"噪音,稽查"
空氣污染實收罰鍰,空氣污染實收罰鍰，統計項包括營建工程、其他固定污染源及移動污染源等3項，類別為22縣市，單位為千元。,STAT_P_94,環境部統計處,其他,大氣環境,永續城市與社區,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:00.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"空氣污染,罰鍰"
空氣污染罰鍰次數,空氣污染罰鍰次數，統計項包括營建工程、其他固定污染源及移動污染源等3項，類別為22縣市，單位為次。,STAT_P_93,環境部統計處,其他,大氣環境,永續城市與社區,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:59.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"空氣污染,罰鍰"
空氣污染稽查次數,空氣污染稽查次數，統計項包括營建工程、其他固定污染源及移動污染源等3項，類別為22縣市，單位為次。,STAT_P_92,環境部統計處,其他,大氣環境,永續城市與社區,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:59.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"空氣污染,稽查"
環境用藥查核次(件)數,環境用藥查核次(件)數，統計項包括製造業、販賣業、病媒防治業、環境用藥廣告、特殊環境用藥施藥、環境用藥標示、查獲劣質環境用藥及查獲偽造、禁用環境用藥，前3項單位為家次，後5項單位為件。,STAT_P_91,環境部統計處,其他,化學物質管理,負責任的消費與生產,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:59.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"環境用藥,查核"
公民營廢棄物處理機構數,公民營廢棄物處理機構數，統計項包括甲級及乙級等2項，類別為22縣市，單位為家。,STAT_P_89,環境部統計處,其他,資源循環,負責任的消費與生產,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:58.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,廢棄物處理機構
列管公廁個數,列管公廁個數，統計項包括男、女及不分男女等3項，類別為22縣市，單位為個。,STAT_P_90,環境部統計處,其他,其他,性別平等,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:58.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,性別統計
公民營廢棄物清除機構數,公民營廢棄物清除機構數，統計項包括甲級、乙級及丙級等3項，類別為22縣市，單位為家。,STAT_P_88,環境部統計處,其他,資源循環,負責任的消費與生產,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:57.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,廢棄物清除機構
垃圾處理場(廠)座數,垃圾處理場(廠)座數，統計項包括焚化廠、衛生掩埋場、堆肥場、堆置場等4項，類別為22縣市，單位為座。,STAT_P_87,環境部統計處,其他,資源循環,負責任的消費與生產,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:57.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"垃圾處理場,垃圾處理廠"
垃圾回收清除車輛數,本資料彙整地方環保機關提報之垃圾回收清除車輛結果，依全國及縣市別統計各種垃圾車數量。,STAT_P_86,環境部統計處,地,資源循環,負責任的消費與生產,item1(統計期)、item2(統計區)、value1(總車輛數)、value2(子母式垃圾車輛數)、value3(密封式垃圾車輛數)、value4(資源[含廚餘]回收垃圾車輛數)、value5(其他框式垃圾車輛數)、value6(清溝[溝泥]車輛數)、value7(掃[洗]街車輛數)、value8(水肥車輛數),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:56.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"垃圾回收清除車輛,垃圾車"
廢棄物罰鍰次數,廢棄物罰鍰次數，統計項包括一般廢棄物、事業廢棄物、廢棄物清除處理機構、回收資源及其他等4項，類別為22縣市，單位為次。,STAT_P_84,環境部統計處,其他,資源循環,永續城市與社區,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:56.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"廢棄物,罰鍰"
廢棄物實收罰鍰,廢棄物實收罰鍰，統計項包括一般廢棄物、事業廢棄物、廢棄物清除處理機構、回收資源及其他等4項，類別為22縣市，單位為千元。,STAT_P_85,環境部統計處,其他,資源循環,永續城市與社區,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:56.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"廢棄物,罰鍰"
廢棄物稽查次數,廢棄物稽查次數，統計項包括一般廢棄物、事業廢棄物、廢棄物清除處理機構、回收資源及其他等4項，類別為22縣市，單位為次。,STAT_P_83,環境部統計處,其他,資源循環,永續城市與社區,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:55.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"廢棄物,稽查"
水污染實收罰鍰,水污染實收罰鍰，統計項包括事業廢水[畜牧業(一)除外]、畜牧業(一)廢水、工業區專用污水下水道系統、公共及社區下水道系統及其他等5項，類別為22縣市，單位為千元。,STAT_P_82,環境部統計處,其他,流域治理,乾淨水與衛生,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:55.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"水污染,罰鍰"
環境影響評估個案監督次數,環境影響評估個案監督次數，類別為本部+22縣市，單位為次。,STAT_P_79,環境部統計處,其他,環境影響評估,永續城市與社區,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:54.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"環境影響評估,監督"
水污染稽查次數,水污染稽查次數，統計項包括事業廢水[畜牧業(一)除外]、畜牧業(一)廢水、工業區專用污水下水道系統、公共及社區下水道系統及其他等5項，類別為22縣市，單位為次。,STAT_P_80,環境部統計處,其他,流域治理,乾淨水與衛生,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:54.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"水污染,稽查"
水污染罰鍰次數,水污染罰鍰次數，統計項包括事業廢水[畜牧業(一)除外]、畜牧業(一)廢水、工業區專用污水下水道系統、公共及社區下水道系統及其他等5項，類別為22縣市，單位為次。,STAT_P_81,環境部統計處,其他,流域治理,乾淨水與衛生,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:54.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,"水污染,罰鍰"
環境部公職人員財產申報統計表,公職人員財產申報之目的係為端正政風，確立公職人員清廉之作為。Date(日期)、Sampling(樣本)、Restriction(限制)、DescriptiveStatistics(敘述統計)。,STAT_P_75,環境部政風處,其他,其他,和平正義與有力的制度,filename(標題)、url(路徑)、description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:09:53.000000",黃先生,(02)2311-7722#2228,chunching.huang@moenv.gov.tw,廉政
環境影響說明書完成審查件數,環境影響說明書完成審查件數，統計項包括通過審查、有條件通過審查、應繼續進行第二階段評估、認定不應開發及其他處置等5項，類別為本部+22縣市，單位為件。,STAT_P_78,環境部統計處,其他,環境影響評估,永續城市與社區,ItemName(統計項名稱)、Category(類別)、Year(年度)、ItemUnit(單位)、ItemValue(數值),環保統計資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:53.000000",梁先生,(02)2311-7722#2107,hanyao.liang@moenv.gov.tw,環境影響說明書
環境部補助地方政府設置完成之現地處理設施,由環境部或相關環保單位提供，資料來自各地方政府申報的設施建置結果。,STAT_P_55,環境部水質保護司,水,流域治理,乾淨水與衛生,name(場址名稱)、project_sponsor(工程主辦單位)、site_maintenance_unit(場址維護單位)、total_area(總面積)、construction_methods_used(所用工法)、start_date(開工時間)、completion_date(完工時間),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:09:52.000000",陳小姐,(02)2311-7722#2847,yawen.chen@moenv.gov.tw,"處理設施,補助"
科技計畫清單,歷年本部科技計畫清單一覽表。No(序號)、Year(年度)、Office(處室)、OutlinePlan(綱要計畫名稱)、DetailedProject(細部計畫名稱)、ExecutiveUnit(計畫執行單位)、PrincipalInvestigator(計畫主持人)、CaseOfficer(承辦人)、Money(決標金額仟元)。,STAT_P_54,環境部綜合規劃司,其他,環境科技,"優質教育,保育海洋生態",No(序號)、Year(年度)、Office(處室)、OutlinePlan(綱要計畫名稱)、DetailedProject(細部計畫名稱)、ExecutiveUnit(計畫執行單位)、PrincipalInvestigator(計畫主持人)、CaseOfficer(承辦人)、Thousanddollars(決標金額仟元),環境部全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:52.000000",胡小姐,(02)2311-7722#2986,chiajung.hu@moenv.gov.tw,科技計畫
環境部單位決算,以前年度歲入來源別轉入數決算表、以前年度歲出政事別轉入數決算表、以前年度歲出機關別轉入數決算表、歲入來源別決算表、歲入類平衡表、歲出政事別決算表、歲出機關別決算表、經費類平衡表,STAT_P_53,環境部會計處,其他,其他,,filename(標題)、url(路徑)、description(說明),環境部全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:52.000000",劉小姐,(02)2311-7722#2174,wanyi.liu@moenv.gov.tw,決算
固定污染源設置、變更、操作許可申請家數統計,提供查詢目前取得固定污染源設置、變更或操作許可證之家數,STAT_P_48,環境部大氣環境司,大氣,大氣環境,"良好健康和福祉,氣候行動",county(縣市別)、setnu(設置家數)、chagenu(變更家數)、openu(操作家數),固定污染源管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,3月,"2026-04-12 08:09:51.000000",謝先生,(02)2311-7722#6213,chhshsieh@moenv.gov.tw,"設置,變更,操作,許可"
公文統計資料,提供公文總收文、總發文、紙本發文及電子發文每月件數,STAT_P_50,環境部環境資訊科技司,其他,環境資源調查與監測,,OrgId(機關全銜)、EdocName(報表名稱)、year(年份)、month(月份)、value01(全署總收文件數)、value02(全署總發文件數)、value03(紙本發文件數)、value04(電子發文件數),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:09:51.000000",黃先生,(02)2311-7722#2346,bojhen.huang@moenv.gov.tw,公文
環境部會計月報,提供環境部每月會計月報表資料。會計年度、月份、會計分類、項目、預算科目編號、預算科目名稱、分支計畫編號、分支計畫名稱、一級用途別編號、一級用途別名稱、經資門、支出實現數、加項_預付款、加項_材料、加項_存出保證金、加項_零用金、加項_退還收入預收款、加項_其他應收款、減項_以前年度撥款於本年度實現數、公庫撥入數、公庫分配數餘額、基金別、使用機關別、科目分類、會計科目編號、會計科目名稱、金額、金額_本月數、金額_累計數、收入實現數、減項_收入待納庫數、加項_以前年度待納庫繳庫數、加項_以前年度撥款於本年度繳還數_材料、加項_以前年度撥款於本年度繳還數_存出保證金、加項_以前年度撥款於本年度繳還數_其他應收款、加項_預收款、加項_剔除經費、繳付公庫數、款、項、目、節、預算年度、細目編號、細目名稱、以前年度轉入數、應收數、保留數、減免、本月實現數、截至本月止累計實現數、調整數、尚未執行數、用途別編號、用途別名稱、應付數、年度預算數、原預算數、追加減數、截至本月止累計分配數_1、截至本月止累計實現數_2、應收收入數_3、分配數預算餘額_4、第一預備金、第二預備金、經費流用數、預算調整數、已分配尚未執行數、備註_預暫付數、業務計畫或工作計畫、執行數、科目名稱、取得成本、以前年度累計折舊_長期投資評價、本年度資本資產成本變動_增加數、本年度資本資產成本變動_減少數、本年度累計折舊_長期投資評價變動數、期末帳面金額、備註,STAT_P_51,環境部會計處,其他,其他,,filename(標題)、url(路徑)、description(說明),環境部全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:09:51.000000",劉小姐,(02)2311-7722#2174,wanyi.liu@moenv.gov.tw,會計月報
一般廢棄物回收率指標資料,提供縣市一般廢棄物清理指標資料(一般廢棄物回收率),STAT_P_46,環境部環境管理署,其他,資源循環,"可負擔的潔淨能源,永續城市與社區,負責任的消費與生產",Year(年度)、County(縣市別)、Municipal_Waste_Recycling_Rate(一般廢棄物回收率),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:09:50.000000",王小姐,(04)22521718#53205,hsiaoling.wang@moenv.gov.tw,一般廢棄物
